Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,C Log P
169,2,0,0,1,25,0,5,13.667,1,2.697,-3.529,4.248,1.042,3.927
170,2,0,0,0,19,0,4,12.641,0,3.106,-3.577,3.907,0.677,3.106
171,1,0,0,0,17,0,3,12.715,0,2.779,-3.366,3.7,0.81,3.037
172,4,1,0,3,23,0,3,13.837,0,2.869,-2.95,4.087,1.026,1.581
173,1,0,0,1,11,0,2,12.918,0,2.973,-2.516,3,0.642,1.351
174,2,0,0,0,13,0,3,13.238,0,3.223,-2.562,3.17,0.893,1.31
175,1,0,0,1,22,0,1,12.646,0,2.699,-3.649,3,0.924,1.501
176,1,0,0,1,25,0,9,12.41,0,2.336,-4.087,3.807,0.588,4.276
177,1,0,0,1,25,0,2,12.729,0,2.994,-3.715,3,1.115,1.525
178,3,0,0,1,27,0,4,12.823,0,2.714,-3.698,3.322,1.198,1.989
179,1,0,0,2,25,0,7,12.33,0,2.636,-4.087,3.807,0.421,4.137
180,1,0,0,1,21,0,0,12.676,0,2.838,-3.556,3,0.903,1.63
181,1,0,0,1,22,0,0,12.827,0,2.927,-3.446,3,1.108,0.745
182,1,0,0,1,18,0,4,12.565,0,2.416,-3.475,3,0.558,2.213
183,1,0,0,1,23,0,7,12.271,0,2.292,-4.13,3.807,0.314,4.292
184,1,0,0,1,21,0,0,12.676,0,2.923,-3.556,3,1.001,1.198
185,1,0,0,1,21,0,2,12.296,0,2.176,-3.974,3,0.515,3.883
186,1,0,0,1,22,0,5,12.827,0,2.907,-3.446,3,0.923,0.918
187,1,0,0,1,26,0,8,12.701,0,2.583,-3.797,3,1.056,2.233
188,1,0,0,1,23,0,5,12.791,0,2.685,-3.54,3,1.05,1.063
189,2,0,0,2,20,0,11,13.008,0,1.893,-3.025,1.585,1.259,0.265
190,1,0,0,1,16,0,2,13.85,1,2.274,-3.25,3,0.286,2.898
191,0,0,0,0,13,0,2,12.318,0,1.965,-3.416,2.807,0.403,3.639
192,1,0,0,2,21,0,6,12.391,0,2.222,-3.765,3,0.427,3.897
193,1,0,0,2,18,0,7,13.978,1,2.208,-3.012,3,0.763,2.421
194,1,0,0,2,17,0,6,12.48,0,2.094,-3.366,3,0.414,2.584
195,1,0,0,2,18,0,3,12.454,0,2.264,-3.475,3,0.416,2.726
196,1,0,0,2,16,0,6,12.51,0,2.259,-3.25,3,0.436,2.322
197,1,0,0,2,17,0,7,12.715,0,2.446,-3.126,3,0.756,1.767
198,1,1,0,6,17,1,7,13.895,0,2.213,-2.404,3,0.707,0.115
199,2,1,0,4,21,0,10,13.916,0,2.176,-2.719,3,0.993,1.459
200,1,0,0,3,20,0,8,13.881,1,2.146,-3.025,3,0.925,2.002
201,1,0,0,3,22,0,2,12.464,0,2.716,-3.649,4.087,0.491,3.129
202,2,0,1,2,41,0,13,12.765,0,2.994,-4.312,4.7,1.47,6.314
203,2,0,1,1,30,0,8,12.842,0,2.943,-3.926,4.248,1.151,4.628
204,4,0,0,0,29,0,7,12.699,0,2.361,-4.02,2.322,1.068,4.196
205,2,0,1,1,31,0,8,12.815,0,3.283,-3.995,4.322,1.101,4.518
206,4,0,0,0,30,0,11,12.942,0,2.56,-3.762,2.322,1.557,2.44
207,4,1,1,3,33,0,10,13.737,0,2.52,-3.363,4.087,1.378,2.402
208,4,0,0,0,30,0,7,12.676,0,2.273,-4.089,2.322,1.072,4.586
209,1,0,0,1,21,0,5,12.676,0,2.716,-3.556,3,0.765,1.931
210,1,0,0,1,20,0,4,12.709,0,2.765,-3.458,3,0.776,1.888
211,0,0,0,3,19,1,1,12.326,0,2.721,-3.577,3,0.356,2.528
212,1,0,0,1,27,0,7,12.528,0,2.324,-4.05,3.807,0.923,4.731
213,2,2,0,0,14,0,9,16.016,0,1.935,-2.176,1.585,0.989,2.097
214,1,0,0,2,11,0,4,13.099,0,1.849,-2.201,1,0.829,0.176
215,1,0,0,2,10,0,4,13.208,0,1.954,-1.993,1,0.831,-0.212
216,2,0,0,3,24,0,4,12.593,0,2.748,-3.63,3.7,0.803,1.053
217,4,0,0,5,43,0,5,12.707,0,2.99,-4.164,4.392,1.503,1.509
218,2,0,0,3,25,0,5,12.57,0,2.708,-3.715,3.7,0.808,1.443
219,2,1,0,2,29,0,7,13.39,0,2.339,-3.685,3.907,1.122,3.369
220,5,0,0,2,25,0,6,13.128,0,2.742,-3.158,3.585,1.242,2.176
221,4,0,0,2,28,0,10,13.703,1,2.463,-3.434,3.459,1.341,2.266
222,0,0,0,2,33,1,13,12.615,0,2.215,-4.127,3.807,1.365,5.093
223,1,0,6,2,28,0,10,14.078,0,3.419,-2.919,3,1.561,3.441
224,1,0,0,3,17,0,7,12.598,0,2.417,-3.126,3,0.637,1.34
225,3,0,0,3,15,0,8,14.803,0,4.369,-0.781,2,0.691,-1.02
226,1,0,0,1,31,0,11,19.874,0,1.275,-3.995,4.17,0.829,6.936
227,2,0,0,0,55,0,7,13.026,0,2.605,-4.31,1.585,2.612,2.218
228,1,0,0,3,25,0,8,12.41,0,2.366,-3.901,3.807,0.582,3.362
229,1,0,0,1,11,0,4,12.918,0,1.662,-2.516,1,0.624,0.644
230,0,0,0,1,19,0,6,12.536,0,2.579,-3.577,3.585,0.666,2.578
231,1,0,0,1,19,0,9,12.746,0,2.495,-3.354,3,0.955,1.989
232,1,0,0,2,19,0,8,12.851,0,2.579,-3.13,3,0.959,0.452
233,0,0,0,2,30,0,10,12.676,0,3.015,-3.926,4.459,1.414,3.256
234,1,0,0,2,24,0,8,12.676,0,2.915,-3.63,3.807,1.08,2.135
235,0,0,0,1,22,0,6,12.827,0,2.44,-3.446,2.807,1.058,0.635
