Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss
234,0,0,0,12.676,0,4.256,2.915,95.58,-3.63,0.48
235,0,0,0,12.827,0,4.039,2.44,81.95,-3.446,0.696
236,0,0,0,12.676,0,3.807,2.59,57.28,-3.243,0.391
237,0,0,0,12.842,0,4.168,2.372,87.66,-3.439,0.553
238,0,0,0,12.918,0,4.678,2.986,112.27,-3.516,1.018
239,0,3,0,13.237,0,4.808,2.98,97.05,-3.664,0.699
240,1,0,0,13.582,0,4.432,2.366,99.88,-3.434,0.81
241,0,0,0,12.937,0,4.43,2.786,103.04,-3.262,0.695
242,0,0,0,12.937,0,4.448,2.642,111.83,-3.262,0.695
243,1,0,0,14.441,0,3.455,2.09,57.61,-2.448,0.368
244,0,0,0,12.897,0,4.355,2.705,95.94,-3.522,0.646
245,0,0,0,15.788,2,3.419,2.232,36.42,-2.448,0
246,1,0,0,15.973,1,3.482,2.131,58.53,-2.176,0.079
247,0,0,0,12.581,0,3.4,2.407,67.64,-2.72,0
248,0,0,0,12.676,0,3.374,3.529,63.83,-2.39,0
249,0,0,0,12.937,0,4.474,2.958,106.95,-3.262,0.767
250,0,0,0,12.917,0,4.931,2.609,117.78,-4.095,1.666
251,0,0,0,12.832,0,3.721,2.367,72.72,-3.126,0.561
252,0,0,0,12.593,0,4.068,2.384,46.53,-3.821,0.432
253,2,0,0,17.04,1,3.821,2.198,118.69,-1.683,0.165
254,2,0,0,17.04,1,3.791,2.138,118.36,-1.683,0.172
255,1,0,0,14.571,1,4.186,2.465,92.5,-3.057,0.157
256,2,0,0,17.458,2,3.891,1.901,109.57,-1.945,0.171
257,1,0,0,14.571,1,4.143,2.364,92.5,-3.057,0.158
258,1,0,0,15.222,1,4.126,2.657,122.63,-2.51,0.593
259,0,0,0,13.412,1,3.939,2.381,12.47,-3.765,0.242
260,0,0,0,12.51,0,3.224,2.384,32.26,-2.987,0.15
261,0,0,0,13.085,0,3.494,2.932,72.72,-2.562,0.658
262,0,0,0,12.842,0,3.342,2.78,52.49,-2.689,0.408
263,0,0,0,13.438,1,4.573,2.312,106.97,-4.021,0.861
264,0,1,0,12.981,0,4.616,2.495,106.97,-4.021,0.86
265,0,0,0,12.783,0,4.398,2.569,93.06,-3.995,0.707
266,0,0,0,12.836,0,4.387,2.551,97.74,-3.853,0.681
267,0,1,0,12.973,0,4.313,2.627,94.83,-3.777,0.618
268,0,1,0,13.042,0,4.437,2.599,100.9,-3.762,0.743
269,0,1,0,12.861,0,4.23,2.464,74.6,-3.874,0.47
270,1,3,0,13.804,0,4.568,2.435,80.67,-3.741,0.581
271,0,0,0,12.778,0,4.201,2.574,94.83,-3.797,0.624
272,0,0,0,12.75,0,4.243,2.547,94.83,-3.874,0.621
273,0,0,0,12.778,0,4.223,2.662,94.83,-3.797,0.621
274,0,0,0,12.778,0,4.24,2.694,91.67,-3.797,0.556
275,0,0,0,12.454,0,4.14,2.213,54.37,-4.227,0.328
276,0,1,0,13.008,0,4.431,2.574,93.06,-3.836,0.702
277,0,0,1,12.41,0,4.124,2.547,46.26,-4.087,0.269
278,0,0,0,12.454,0,4.158,2.174,58.2,-4.05,0.148
279,1,0,0,13.465,0,4.514,2.371,113.42,-3.363,0.4
280,0,0,0,12.768,0,4.423,3.199,74.87,-3.685,0.56
281,1,0,0,13.422,0,4.539,2.358,112.9,-3.442,0.4
282,0,0,0,12.581,0,4.237,2.225,60.44,-4.121,0.441
283,0,0,0,12.41,0,3.832,2.586,40.46,-3.89,0.412
284,0,0,1,12.358,0,3.986,2.523,37.3,-4.13,0.229
285,0,0,0,31.908,0,4.188,0.769,92.78,-2.866,0.756
286,0,0,0,12.918,0,3.212,2.672,63.32,-2.516,0.295
287,0,0,0,12.705,0,4.148,3.158,67.51,-3.737,0.585
288,1,0,0,13.829,0,4.108,2.491,92.34,-3.041,0.229
289,1,0,0,15.508,1,3.744,2.16,75.27,-2.404,0.142
290,1,0,0,13.422,0,4.655,2.423,124.68,-3.591,0.276
291,1,0,0,13.494,0,4.592,2.661,130.15,-3.356,0.214
292,1,0,0,14.115,1,4.63,2.484,113.6,-3.516,0.461
293,1,0,0,13.821,0,3.991,2.391,78.51,-2.928,0.142
294,1,0,0,14.012,0,3.805,2.227,75.27,-2.78,0.142
295,0,0,0,13.12,0,2.959,2.358,91.49,-1.409,0
296,1,0,0,13.451,0,4.338,2.6,68.29,-3.529,0.386
297,1,0,0,13.531,0,4.364,2.66,71.53,-3.344,0.385
298,0,0,0,12.51,0,3.156,2.093,20.23,-2.987,0.258
299,0,0,0,12.932,0,3.436,2.335,33.42,-2.562,0.213
300,0,0,0,15.794,0,3.74,1.726,16.13,-3.577,0
301,0,0,0,13.455,1,3.752,2.252,16.13,-3.577,0
302,0,0,0,12.201,0,3.91,2.658,16.13,-3.974,0
303,0,0,0,13.582,1,3.858,2.325,25.36,-3.458,0.134
304,0,0,0,13.237,1,4.022,2.289,12.47,-4.012,0.134
305,0,0,0,12.326,0,3.796,2.522,12.47,-3.801,0.135
306,0,0,0,12.41,0,3.845,2.405,25.36,-3.674,0.132
307,0,0,0,13.47,1,4.358,2.686,53.01,-3.698,0.428
308,0,0,0,13.258,1,3.912,2.593,24.92,-3.851,0
309,0,0,0,12.496,0,4.736,2.731,81,-4.505,0.59
310,0,0,0,13.322,1,4.256,2.567,42.43,-3.874,0.253
311,0,0,0,12.326,0,3.809,2.5,19.37,-3.577,0
312,0,0,0,12.102,0,3.921,2.739,3.24,-4.257,0
313,0,0,0,12.192,0,2.894,2.4,26.02,-3.145,0
314,0,0,0,12.165,0,3.027,2.026,26.02,-3.416,0
315,0,0,0,12.271,0,3.948,2.634,23.47,-4.13,0.148
316,0,0,0,12.296,0,3.807,2.5,23.47,-3.974,0.148
317,0,0,0,12.283,0,3.856,2.472,23.47,-4.054,0.148
318,0,0,0,13.293,0,3.711,3.559,103.78,-2.448,0.802
319,0,0,1,12.154,0,3.433,2.32,3.24,-3.535,0
320,0,0,0,12.809,0,3.166,2.844,36.47,-2.325,0.169
321,0,0,0,13.225,0,4.41,3.823,118.05,-2.753,0.475
322,0,2,0,15.782,0,4.415,2.349,88.41,-2.994,0.3
323,0,3,0,17.005,0,4.509,1.977,64.6,-3.435,0.22
324,0,1,0,16.006,0,4.701,2.027,107.13,-3.661,0.281
325,0,0,0,12.986,0,5.733,2.484,359.98,-4.472,1.571
326,2,0,0,13.89,0,5.182,2.812,246.74,-3.612,1.241
327,0,0,0,13.187,0,4.802,3.184,206.07,-3.659,1.699
328,4,0,0,17.274,0,3.256,1.24,6.48,-2.5,0
329,0,0,0,16.857,0,3.591,1.995,161.31,-1.088,0.681
330,0,0,0,17.997,0,3.365,1.779,135.29,-0.629,0.681
331,0,0,0,15.581,0,3.858,1.83,138.53,-2.012,0.681
332,0,0,0,17.229,0,3.525,1.995,161.31,-0.854,0.681
333,0,0,0,16.001,0,3.87,2.277,148.18,-1.683,0.681
334,0,0,0,16.376,0,3.819,2.259,153.11,-1.25,0.68
335,0,0,0,12.795,0,4.468,3.676,108.47,-3.606,0.803
336,0,0,0,13.008,0,3.781,3.31,52.58,-3,0.688
337,1,0,0,15.347,0,2.851,1.687,63.32,-1.761,0.293
338,0,0,0,30.242,0,3.946,0.809,95.5,-2.377,0.44
339,0,0,0,33.107,0,4.661,0.734,132.8,-2.993,0.728
340,0,0,0,24.352,0,4.522,1.111,179.66,-2.717,0.981
341,0,0,0,24.352,0,4.508,1.116,188.45,-2.717,0.987
342,0,0,0,23.966,0,4.544,1.108,168.66,-2.813,0.972
343,0,0,0,30.242,0,3.93,0.809,95.5,-2.377,0.437
344,1,0,0,14.222,0,4.055,2.908,115.42,-2.012,0.256
345,0,0,0,12.886,0,5.103,2.387,178.36,-4.503,1.487
