Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss,C Log P
310,0,0,0,13.322,1,4.256,2.567,42.43,-3.874,0.253,4.888
311,0,0,0,12.326,0,3.809,2.5,19.37,-3.577,0,2.65
312,0,0,0,12.102,0,3.921,2.739,3.24,-4.257,0,4.698
313,0,0,0,12.192,0,2.894,2.4,26.02,-3.145,0,1.914
314,0,0,0,12.165,0,3.027,2.026,26.02,-3.416,0,2.694
315,0,0,0,12.271,0,3.948,2.634,23.47,-4.13,0.148,3.962
316,0,0,0,12.296,0,3.807,2.5,23.47,-3.974,0.148,3.94
317,0,0,0,12.283,0,3.856,2.472,23.47,-4.054,0.148,4.331
318,0,0,0,13.293,0,3.711,3.559,103.78,-2.448,0.802,0.052
319,0,0,1,12.154,0,3.433,2.32,3.24,-3.535,0,2.183
320,0,0,0,12.809,0,3.166,2.844,36.47,-2.325,0.169,0.319
321,0,0,0,13.225,0,4.41,3.823,118.05,-2.753,0.475,1.74
322,0,2,0,15.782,0,4.415,2.349,88.41,-2.994,0.3,3.011
323,0,3,0,17.005,0,4.509,1.977,64.6,-3.435,0.22,3.781
324,0,1,0,16.006,0,4.701,2.027,107.13,-3.661,0.281,3.94
325,0,0,0,12.986,0,5.733,2.484,359.98,-4.472,1.571,0.726
326,2,0,0,13.89,0,5.182,2.812,246.74,-3.612,1.241,-0.656
327,0,0,0,13.187,0,4.802,3.184,206.07,-3.659,1.699,0.001
328,4,0,0,17.274,0,3.256,1.24,6.48,-2.5,0,3.621
329,0,0,0,16.857,0,3.591,1.995,161.31,-1.088,0.681,-1.273
330,0,0,0,17.997,0,3.365,1.779,135.29,-0.629,0.681,-0.992
331,0,0,0,15.581,0,3.858,1.83,138.53,-2.012,0.681,0.5
332,0,0,0,17.229,0,3.525,1.995,161.31,-0.854,0.681,-1.663
333,0,0,0,16.001,0,3.87,2.277,148.18,-1.683,0.681,-0.374
334,0,0,0,16.376,0,3.819,2.259,153.11,-1.25,0.68,-1.115
335,0,0,0,12.795,0,4.468,3.676,108.47,-3.606,0.803,3.711
336,0,0,0,13.008,0,3.781,3.31,52.58,-3,0.688,2.548
337,1,0,0,15.347,0,2.851,1.687,63.32,-1.761,0.293,0.107
338,0,0,0,30.242,0,3.946,0.809,95.5,-2.377,0.44,3.115
339,0,0,0,33.107,0,4.661,0.734,132.8,-2.993,0.728,6.848
340,0,0,0,24.352,0,4.522,1.111,179.66,-2.717,0.981,-1.378
341,0,0,0,24.352,0,4.508,1.116,188.45,-2.717,0.987,-1.014
342,0,0,0,23.966,0,4.544,1.108,168.66,-2.813,0.972,-0.406
343,0,0,0,30.242,0,3.93,0.809,95.5,-2.377,0.437,2.517
344,1,0,0,14.222,0,4.055,2.908,115.42,-2.012,0.256,0.664
